Nick Lappin
Dylan Larkin
Adam Larsson
Johan Larsson
Brian Lashoff
Scott Laughton
Curtis Lazar
Nick Leddy
Anders Lee
Artturi Lehkonen
Jori Lehtera
Taylor Leier
Brendan Leipsic
Josh Leivo
Brendan Lemieux
Brett Lernout
Kris Letang
Mark Letestu
Vinni Lettieri
Trevor Lewis
Mike Liambas
Oscar Lindberg
Oskar Lindblom
Esa Lindell
Anton Lindholm
Elias Lindholm
Hampus Lindholm
Bryan Little
Ryan Lomberg
Ben Lovejoy
Keegan Lowe
Adam Lowry
Milan Lucic
Olli Maatta
Kurtis MacDermid
Andrew MacDonald
Derek MacKenzie
Nathan MacKinnon
Denis Malgin
Evgeni Malkin
Brad Malone
Maxim Mamin
Andrew Mangiapane
Brandon Manning
Josh Manson
Anthony Mantha
Brad Marchand
Jon Marchessault
Martin Marincin
Patrick Marleau
Mitch Marner
Patrick Maroon
Danick Martel
Matt Martin
Paul Martin
Alec Martinez
Jordan Martinook
Andreas Martinsen
Mike Matheson
Stefan Matteau
Auston Matthews
Shawn Matthias
Scott Mayfield
Charlie McAvoy
Jake McCabe
Jared McCann
Michael McCarron
Max McCormick
Ian McCoshen
Connor McDavid
Ryan McDonagh
Brock McGinn
Jamie McGinn
Greg McKegg
Curtis McKenzie
Roland McKeown
Cody McLeod
Brayden McNabb
Adam McQuaid
Wade Megan
Jaycob Megna
Jayson Megna
Timo Meier
Nicholas Merkley
Dakota Mermis
Jonathon Merrill
Victor Mete
Marc Methot
Sonny Milano
Colin Miller
J.T. Miller
Kevan Miller
Andrei Mironov
Torrey Mitchell
Zack Mitchell
Casey Mittelstadt
Sean Monahan
Brandon Montour
Dominic Moore
John Moore
Samuel Morin
Josh Morrissey
Joseph Morrow
Tyler Motte
Matt Moulson
Mirco Mueller
Connor Murphy
Ryan Murphy
Trevor Murphy
Ryan Murray
Jake Muzzin
Tyler Myers
Vladislav Namestnikov
Rick Nash
Riley Nash
James Neal
Martin Necas
Brock Nelson
Casey Nelson
Patrik Nemeth
Aaron Ness
Nino Niederreiter
Frans Nielsen
Matthew Nieto
Boo Nieves
Sami Niku
Matt Niskanen
Stefan Noesen
Jordan Nolan
Joakim Nordstrom
Tomas Nosek
Ryan Nugent-Hopkins
Darnell Nurse
Markus Nutivaara
Alexander Nylander
William Nylander
Gustav Nyquist
Jim O'Brien
Liam O'Brien
Rob O'Gara
Will O'Neill
Daniel O'Regan
Cal O'Reilly
Ryan O'Reilly
Johnny Oduya
Jordan Oesterle
Kyle Okposo
Jamie Oleksiak
Gustav Olofsson
Dmitry Orlov
Brooks Orpik
T.J. Oshie
Xavier Ouellet
Alex Ovechkin
Magnus Paajarvi
Max Pacioretty
Jean-Gabriel Pageau
Iiro Pakarinen
Ondrej Palat
Kyle Palmieri
Artemi Panarin
Richard Panik
Cedric Paquette
Colton Parayko
Zach Parise
David Pastrnak
Greg Pateryn
Nolan Patrick
Nick Paul
Joe Pavelski
Tanner Pearson
Matthew Peca
Adam Pelech
Anthony Peluso
Brendan Perlini
Mathieu Perreault
David Perron
Corey Perry
Brett Pesce
Nic Petan
Alexander Petrovic
Jeff Petry
Marcus Pettersson
Dion Phaneuf
Blake Pietila
Alex Pietrangelo
Neal Pionk
Brandon Pirri
Tyler Pitlick
Tomas Plekanec
Brayden Point
Roman Polak
Jason Pominville
Tucker Poolman
Paul Postma
Benoit Pouliot
Derrick Pouliot
Shane Prince
Nate Prosser
Dalton Prout
Ivan Provorov
Jesse Puljujarvi
Ryan Pulock
Tom Pyatt
Mark Pysyk
John Quenneville
Kyle Quincey
Alan Quine
Alexander Radulov
Michael Raffl
Rickard Rakell
Mikko Rantanen
Victor Rask
Dennis Rasmussen
Ty Rattie
Kyle Rau
Matt Read
Ryan Reaves
Zach Redmond
Mike Reilly
Sam Reinhart
Mitch Reinke
