,Name,Year,Salary
10818,Cullen Jenkins,2004,230000
8738,Ben Roethlisberger,2004,2002000
28198,Kurt Warner,2004,3000000
26402,Rod Smith,2004,2756500
26208,Jonathan Ogden,2004,10660000
990,Roberto Garza,2004,628000
6,Peyton Manning,2004,35035000
3557,Jason Witten,2004,305000
26164,Emmitt Smith,2004,2500000
7622,Terrell Suggs,2004,4555000
7841,London Fletcher,2004,2600000
3144,Cory Redding,2004,305000
28303,Jake Plummer,2004,664150
23821,Donovan McNabb,2004,11000000
9974,Randy Starks,2004,771000
28275,Drew Bledsoe,2004,8750000
7350,Anquan Boldin,2004,305000
28282,Courtney Brown,2004,6700000
3287,Reggie Wayne,2004,1375000
26096,Alan Faneca,2004,3750000
3308,Robert Mathis,2004,305000
26189,Michael Strahan,2004,6450000
876,Julius Peppers,2004,1750000
3057,Adam Vinatieri,2004,1675000
8849,Ike Taylor,2004,305000
26174,Warren Sapp,2004,5200000
28327,Trevor Pryce,2004,6050000
10963,Phil Dawson,2004,610000
23802,Jimmy Kennedy,2004,4805000
49,Champ Bailey,2004,7509150
371,Andy Lee,2004,291500
1475,Erik Pears,2005,79900
7573,Shane Lechler,2005,1500000
10660,Donnie Jones,2005,305000
11104,Matt Hasselbeck,2005,19000000
7282,Scott Wells,2005,305000
11303,Tommy Kelly,2005,305000
8427,Chris Clemons,2005,305000
6102,Ryan Pickett,2005,1008000
11514,Calvin Pace,2005,362279
2147,Dunta Robinson,2005,4235000
676,Jonathan Goodwin,2005,656000
603,Randy Moss,2005,7750000
7339,Jason Campbell,2005,1190000
29915,Marvin Harrison,2005,8000000
11086,Adam Jones,2005,3800010
8209,Jon Dorenbos,2005,223529
7299,Steven Jackson,2005,2287500
10790,David Carr,2005,13500000
5985,John Kuhn,2005,23500
29881,Jason Wright,2005,9400
8221,Lance Moore,2005,14100
7351,Anquan Boldin,2005,6500000
8850,Ike Taylor,2005,380000
9280,Matt Schaub,2005,305000
991,Roberto Garza,2005,4315000
10819,Cullen Jenkins,2005,305000
8153,Jabari Greer,2005,305000
6349,Jordan Gross,2005,1330000
9017,Andre Johnson,2005,1155000
31113,Tom Nalen,2005,3100000
690,Justin Smith,2005,1830000
8069,Ben Watson,2005,1660000
8989,Troy Polamalu,2005,791000
6980,Sebastian Janikowski,2005,2050000
8099,Darren Sproles,2005,622000
50,Champ Bailey,2005,7507625
6791,Tom Brady,2005,16000000
10722,Kevin Vickerson,2005,166000
8834,Heath Miller,2005,3092000
7920,Santana Moss,2005,3540000
11162,Luke McCown,2005,305000
10964,Phil Dawson,2005,1500000
8759,Brett Keisel,2005,656000
8198,Will Smith,2005,3655000
11230,D.J. Williams,2005,3535000
6609,Logan Mankins,2005,2830000
7623,Terrell Suggs,2005,405000
9126,Chris Myers,2005,175882
8739,Ben Roethlisberger,2005,9494000
10743,Matt Cassel,2005,284000
8126,Drew Brees,2005,8078000
29946,Marshall Faulk,2005,4000000
7842,London Fletcher,2005,3100000
11263,Nnamdi Asomugha,2005,555000
6450,Thomas Davis,2005,1405000
11248,DeAngelo Hall,2005,8455000
7209,Ryan Fitzpatrick,2005,258250
6523,Dan Connolly,2005,240000
9029,Antonio Smith,2005,233235
7126,Harvey Dahl,2005,27059
6437,Steve Smith,2005,3850000
644,Frank Gore,2005,829500
23647,Brett Favre,2005,9500000
5762,Shaun Hill,2005,656000
26209,Jonathan Ogden,2005,10665000
26190,Michael Strahan,2005,5252000
3058,Adam Vinatieri,2005,2509000
9975,Randy Starks,2005,305000
26175,Warren Sapp,2005,4500000
28276,Drew Bledsoe,2005,4000000
28283,Courtney Brown,2005,1800000
28304,Jake Plummer,2005,7628475
3145,Cory Redding,2005,380000
10489,Joe Berger,2005,230000
7,Peyton Manning,2005,665000
26097,Alan Faneca,2005,3900000
3288,Reggie Wayne,2005,1715000
3309,Robert Mathis,2005,380000
10000,Kevin Williams,2005,380000
26052,Edgerrin James,2005,9081000
877,Julius Peppers,2005,6315000
23822,Donovan McNabb,2005,4000000
28328,Trevor Pryce,2005,4500000
3558,Jason Witten,2005,380000
3593,Kyle Orton,2005,688000
23803,Jimmy Kennedy,2005,591000
10514,Chris Canty,2005,540000
372,Andy Lee,2005,305000
3804,Dimitri Patterson,2005,40588
896,Lance Briggs,2005,380000
5806,Aaron Rodgers,2005,2350000
3824,Ed Reed,2005,581250
3896,Kevin Burnett,2005,1530000
3984,Richie Incognito,2005,724882
3477,DeMarcus Ware,2005,3070000
23781,Ray Lewis,2005,5500000
28255,Deion Sanders,2005,3000000
2833,Derrick Johnson,2005,1920000
2180,Vincent Jackson,2005,1605000
26357,Chad Pennington,2005,3000000
190,Joel Dreessen,2005,318000
2228,Karlos Dansby,2005,305000
10159,Jonathan Babineaux,2005,1380000
26347,Orlando Pace,2005,18000000
2243,Carson Palmer,2005,18750000
26336,John Lynch,2005,2525000
26403,Rod Smith,2005,5005200
2258,Terence Newman,2005,583167
10122,Derek Anderson,2005,202941
26302,Shaun Alexander,2005,6323000
236,Mike Adams,2005,305000
2305,Darnell Dockett,2005,305000
26220,Walter Jones,2005,17700000
28199,Kurt Warner,2005,4000000
26287,Curtis Martin,2005,3683333
2526,Antonio Gates,2005,6380000
10015,Richard Seymour,2005,4570000
26271,Clinton Portis,2005,455000
2618,Jarret Johnson,2005,380000
26263,Ty Law,2005,6000000
28234,Junior Seau,2005,1650000
2688,Malcom Floyd,2005,71765
10451,Isaac Sopoaga,2005,230000
2729,Nick Hardwick,2005,305000
26248,Kevin Mawae,2005,1950000
2740,Philip Rivers,2005,6930000
29934,Jerome Bettis,2005,1600000
2808,George Wilson,2005,230000
2397,Larry Fitzgerald,2005,5342500
9776,Jared Allen,2005,305000
23793,Daniel Graham,2005,530000
4190,Evan Mathis,2005,771000
4743,Antrel Rolle,2005,1800000
10569,Mike Nugent,2005,1380000
14001,Kellen Winslow,2005,4717500
4760,Chris Snee,2005,400000
9595,Nate Washington,2005,202941
4100,Dwan Edwards,2005,685000
13650,Daryl Smith,2005,305000
4782,David Baas,2005,2435000
9570,Michael Roos,2005,630010
4813,Eli Manning,2005,9305000
13109,John Abraham,2005,6666000
4868,Justin Tuck,2005,967000
10595,Wes Welker,2005,305000
5108,Jason Babin,2005,1777503
12885,Charles Woodson,2005,10537000
28367,Javon Walker,2005,515000
954,Tony Romo,2005,700000
5300,Robert Geathers,2005,305000
12833,Dwight Freeney,2005,750000
9453,David Stewart,2005,569000
9358,Wade Smith,2005,380000
12813,Chris Kluwe,2005,230000
5506,Josh McCown,2005,1430000
10189,Vince Wilfork,2005,2810000
5721,Nate Burleson,2005,380000
4730,James Harrison,2005,305000
31129,Jason Elam,2005,765000
4769,Corey Webster,2005,1840000
4376,Trent Cole,2005,403000
23765,Mark Brunell,2005,2125000
4225,Jason Peters,2005,305000
409,Carlos Rogers,2005,1838000
4294,Michael Vick,2005,23100000
23746,Albert Haynesworth,2005,600000
28344,Steve McNair,2005,7500000
4366,Todd Herremans,2005,633000
4699,Tyson Clabo,2005,70500
908,Osi Umenyiora,2005,4880000
23730,Ryan Grant,2005,79900
4388,Alex Smith,2005,3500000
759,Charles Tillman,2005,448500
8391,Brandon Browner,2005,156000
10558,Tony Gonzalez,2005,3400000
4432,Asante Samuel,2005,756600
4648,Roddy White,2005,1075000
4598,Matt Bryant,2005,455000
23682,LaDainian Tomlinson,2005,5000000
4476,Lorenzo Alexander,2005,79900
9571,Michael Roos,2006,1782500
8613,Paul McQuistan,2006,0
9139,Danieal Manning,2006,1775000
9231,Johnathan Joseph,2006,1865000
9018,Andre Johnson,2006,8050000
897,Lance Briggs,2006,721600
9359,Wade Smith,2006,400000
9681,Chad Greenway,2006,1310000
9777,Jared Allen,2006,425000
992,Roberto Garza,2006,936250
