playerName,playerId,year,team,salary,signingBonus,rosterBonus,workoutBonus,restructureBonus,optionBonus,incentive,totalCash
Cedric Peerman,5485,2015,bengals,"$745,000","$250,000",-,"$50,000",-,-,-,"$1,045,000"
Cedric Peerman,5485,2016,bengals,"$885,000",-,"$56,250","$50,000",-,-,-,"$991,250"
Cedric Peerman,5485,2017,bengals,"$900,000","$100,000","$37,500","$50,000",-,-,-,"$1,087,500"
Tyler Gaffney,14615,2014,patriots,"$303,000",-,-,-,-,-,-,"$303,000"
Tyler Gaffney,14615,2014,panthers,-,"$96,600",-,-,-,-,-,"$96,600"
Tyler Gaffney,14615,2015,patriots,"$318,000",-,-,-,-,-,-,"$318,000"
Tyler Gaffney,14615,2016,patriots,"$52,940",-,-,-,-,-,-,"$52,940"
Tyler Gaffney,14615,2016,patriots,"$55,200",-,-,-,-,-,-,"$55,200"
Tyler Gaffney,14615,2017,jaguars,"$615,000",-,-,-,-,-,-,"$615,000"
Erik Swoope,15780,2014,colts,"$107,100",-,-,-,-,-,-,"$107,100"
Erik Swoope,15780,2014,colts,-,"$5,000",-,-,-,-,-,"$5,000"
Erik Swoope,15780,2015,colts,"$25,588",-,-,-,-,-,-,"$25,588"
Erik Swoope,15780,2015,colts,"$105,600",-,-,-,-,-,-,"$105,600"
Erik Swoope,15780,2016,colts,"$450,000",-,-,-,-,-,"$166,000","$616,000"
Erik Swoope,15780,2017,colts,"$363,000",-,-,-,-,-,-,"$363,000"
Taylor Decker,18964,2016,lions,"$450,000","$6,175,985",-,-,-,-,-,"$6,625,985"
Taylor Decker,18964,2017,lions,"$948,499",-,-,-,-,-,-,"$948,499"
Taylor Decker,18964,2018,lions,"$1,446,998",-,-,-,-,-,-,"$1,446,998"
Taylor Decker,18964,2019,lions,"$1,945,498",-,-,-,-,-,-,"$1,945,498"
Dieugot Joseph,22120,2017,bears,"$7,500","$10,000",-,-,-,-,-,"$17,500"
Dieugot Joseph,22120,2017,bears,"$14,400",-,-,-,-,-,-,"$14,400"
Dieugot Joseph,22120,2017,ravens,"$82,059",-,-,-,-,-,-,"$82,058"
Dieugot Joseph,22120,2017,ravens,"$86,400",-,-,-,-,-,-,"$86,400"
Corey Levin,21959,2017,tennessee,"$465,000","$110,014",-,-,-,-,-,"$575,014"
Corey Levin,21959,2018,tennessee,"$555,000",-,-,-,-,-,-,"$555,000"
Corey Levin,21959,2019,tennessee,"$645,000",-,-,-,-,-,-,"$645,000"
Corey Levin,21959,2020,tennessee,"$735,000",-,-,-,-,-,-,"$735,000"
Jhajuan Seales,22429,2017,bears,"$7,500","$7,500",-,-,-,-,-,"$15,000"
Jhajuan Seales,22429,2017,bucs,"$465,000",-,-,-,-,-,-,"$465,000"
Malcolm Smith,7965,2011,hawks3,"$375,000","$45,900",-,-,-,-,-,"$420,900"
Malcolm Smith,7965,2012,hawks3,"$465,000",-,-,-,-,-,-,"$465,000"
Malcolm Smith,7965,2013,hawks3,"$555,000",-,-,-,-,-,-,"$555,000"
Malcolm Smith,7965,2014,hawks3,"$645,000",-,-,-,-,-,-,"$645,000"
Malcolm Smith,7965,2015,oakland,"$1,750,000","$2,000,000","$2,000,000","$250,000",-,-,"$37,979","$6,037,979"
Malcolm Smith,7965,2016,oakland,"$2,750,000",-,-,"$250,000",-,-,-,"$3,000,000"
