,Name,Year,Salary
2156,Logan Paulsen,2010,"$330,000"
194,Colt McCoy,2010,"$1,141,000"
2860,Corey Graham,2010,"$1,101,000"
2239,Ndamukong Suh,2010,"$3,100,000"
818,Breno Giacomini,2010,"$470,000"
1077,Patrick Chung,2010,"$1,405,000"
2144,Dustin Colquitt,2010,"$1,200,000"
992,Jason McCourty,2010,"$395,000"
2692,Golden Tate,2010,"$1,320,000"
2620,Antoine Bethea,2010,"$11,280,000"
1994,Austin Howard,2010,"$335,000"
2884,Jason Witten,2010,"$3,141,000"
2399,Jerry Hughes,2010,"$2,345,000"
2009,Sam Koch,2010,"$1,759,000"
2182,Danny Woodhead,2010,"$371,764"
2085,Donald Penn,2010,"$6,500,000"
225,Cedric Peerman,2010,"$385,000"
105,Joe Hawley,2010,"$803,180"
742,Julius Peppers,2010,"$20,200,000"
1032,Rodger Saffold,2010,"$2,640,000"
2057,Matthew Stafford,2010,"$26,900,000"
2022,Josh Sitton,2010,"$470,000"
1097,Marcedes Lewis,2010,"$1,202,500"
857,Matt Forte,2010,"$470,000"
343,Sam Young,2010,"$430,500"
2366,Morgan Burnett,2010,"$1,195,100"
299,Kellen Clemens,2010,"$700,000"
839,Elvis Dumervil,2010,"$3,630,000"
2909,Brandon Graham,2010,"$1,690,000"
2058,Matthew Stafford,2011,"$9,270,000"
2662,Jimmy Smith,2011,"$4,301,688"
910,Doug Baldwin,2011,"$392,500"
1559,Steve McLendon,2011,"$450,000"
2367,Morgan Burnett,2011,"$450,000"
2885,Jason Witten,2011,"$16,391,000"
2086,Donald Penn,2011,"$8,200,000"
22,Chris Culliver,2011,"$973,876"
1577,Orlando Scandrick,2011,"$3,600,000"
2232,J.T. Thomas,2011,"$467,516"
195,Colt McCoy,2011,"$450,000"
1609,Jah Reid,2011,"$938,240"
1025,Darren Sproles,2011,"$4,000,000"
498,Julian Edelman,2011,"$525,000"
1253,Chris Hogan,2011,"$17,500"
1252,Chris Hogan,2011,"$5,700"
743,Julius Peppers,2011,"$11,700,000"
2400,Jerry Hughes,2011,"$3,555,000"
2910,Brandon Graham,2011,"$11,470,000"
106,Joe Hawley,2011,"$405,000"
632,Luke Stocker,2011,"$847,688"
1033,Rodger Saffold,2011,"$650,000"
2257,Ben Roethlisberger,2011,"$11,600,000"
2921,Chris Maragos,2011,"$291,176"
2355,Larry Fitzgerald,2011,"$20,000,000"
623,Michael Crabtree,2011,"$4,375,000"
840,Elvis Dumervil,2011,"$19,615,000"
656,Nick Bellore,2011,"$382,000"
2196,Buster Skrine,2011,"$577,000"
118,Derek Newton,2011,"$435,256"
2922,Chris Maragos,2011,"$96,900"
2183,Danny Woodhead,2011,"$1,200,000"
819,Breno Giacomini,2011,"$555,000"
1480,Wesley Woodyard,2011,"$1,835,000"
2166,Clint Boling,2011,"$856,448"
2157,Logan Paulsen,2011,"$450,000"
1493,Julius Thomas,2011,"$759,000"
1505,Kenny Wiggins,2011,"$3,000"
1406,Andre Holmes,2011,"$375,000"
993,Jason McCourty,2011,"$525,000"
2581,Mike Adams,2011,"$1,150,000"
1245,Justin Durant,2011,"$3,750,000"
1191,Nate Allen,2011,"$1,159,000"
2145,Dustin Colquitt,2011,"$1,500,000"
684,Quintin Demps,2011,"$555,000"
903,Brandon Fusco,2011,"$469,224"
1133,Terrell Suggs,2011,"$3,400,000"
2551,Tyson Alualu,2011,"$7,040,000"
2771,Darius Butler,2011,"$25,000"
1528,Jamaal Charles,2011,"$3,600,000"
2608,Brian Hoyer,2011,"$525,000"
1624,William Hayes,2011,"$1,000,000"
935,Linval Joseph,2011,"$405,000"
2693,Golden Tate,2011,"$450,000"
2751,Tyvon Branch,2011,"$555,000"
777,Patrick Peterson,2011,"$12,278,272"
1753,Frank Zombo,2011,"$405,000"
2598,Derrick Morgan,2011,"$9,125,000"
1118,Connor Barth,2011,"$1,835,000"
1976,Ed Dickson,2011,"$450,000"
1769,Marcus Cannon,2011,"$575,500"
1360,Brett Kern,2011,"$2,727,500"
408,Stevan Ridley,2011,"$1,023,000"
1009,Muhammad Wilkerson,2011,"$3,875,000"
322,Matt Moore,2011,"$4,000,000"
1318,Stephen Paea,2011,"$1,555,656"
2436,Dan Bailey,2011,"$377,500"
83,Harry Douglas,2011,"$1,200,000"
1328,Charles Clay,2011,"$487,000"
965,Mario Addison,2011,"$3,500"
1806,Drew Brees,2011,"$7,593,500"
2621,Antoine Bethea,2011,"$4,745,000"
948,Carlos Dunlap,2011,"$450,000"
1921,Byron Bell,2011,"$389,000"
1848,Morgan Cox,2011,"$450,000"
964,Mario Addison,2011,"$375,000"
344,Sam Young,2011,"$540,000"
1868,Bryan Bulaga,2011,"$4,400,000"
2310,Paul Posluszny,2011,"$11,000,000"
2842,George Johnson,2011,"$375,000"
1098,Marcedes Lewis,2011,"$9,450,000"
1078,Patrick Chung,2011,"$575,000"
1736,Aqib Talib,2011,"$1,653,750"
1430,Adam Vinatieri,2011,"$5,000,000"
1995,Austin Howard,2011,"$158,824"
2524,Mike Windt,2011,"$450,000"
2426,Cam Newton,2011,"$14,893,544"
1374,Adam-Pacman Jones,2011,"$640,000"
1654,Josh Bynes,2011,"$375,000"
1703,Ben Garland,2011,"$405,000"
921,Maurkice Pouncey,2011,"$9,675,500"
1725,Taiwan Jones,2011,"$780,000"
258,Malcolm Smith,2011,"$420,900"
1375,Adam-Pacman Jones,2011,"$353,000"
2223,Robert Quinn,2011,"$5,737,585"
1635,Julio Jones,2011,"$10,660,000"
2861,Corey Graham,2011,"$1,300,000"
710,Phil Dawson,2011,"$3,250,000"
2805,Matt Schaub,2011,"$5,750,000"
2010,Sam Koch,2011,"$4,300,000"
2023,Josh Sitton,2011,"$9,550,000"
1645,Anthony Castonzo,2011,"$4,693,980"
300,Kellen Clemens,2011,"$685,000"
487,Chris Matthews,2011,"$2,000"
2240,Ndamukong Suh,2011,"$25,784,706"
858,Matt Forte,2011,"$600,000"
23,Chris Culliver,2012,"$465,000"
657,Nick Bellore,2012,"$465,000"
859,Matt Forte,2012,"$9,800,000"
2599,Derrick Morgan,2012,"$725,000"
1255,Chris Hogan,2012,"$390,000"
1202,Brandon Brooks,2012,"$1,007,436"
2356,Larry Fitzgerald,2012,"$26,250,000"
1277,Garrett Celek,2012,"$396,000"
2311,Paul Posluszny,2012,"$5,000,000"
841,Elvis Dumervil,2012,"$14,000,000"
744,Julius Peppers,2012,"$9,000,000"
1254,Chris Hogan,2012,"$5,700"
1211,Danny Trevathan,2012,"$494,072"
1317,Stephen Paea,2012,"$542,541"
2731,Bradley Sowell,2012,"$10,000"
2923,Chris Maragos,2012,"$540,000"
1376,Adam-Pacman Jones,2012,"$950,000"
1192,Nate Allen,2012,"$557,000"
2582,Mike Adams,2012,"$2,000,000"
1392,Kevin Zeitler,2012,"$4,316,692"
820,Breno Giacomini,2012,"$3,000,000"
685,Quintin Demps,2012,"$700,000"
2622,Antoine Bethea,2012,"$5,225,000"
2737,Fletcher Cox,2012,"$6,278,144"
1361,Brett Kern,2012,"$706,000"
1246,Justin Durant,2012,"$2,250,000"
2730,Bradley Sowell,2012,"$390,000"
778,Patrick Peterson,2012,"$1,212,705"
2758,Deonte Thompson,2012,"$394,000"
1407,Andre Holmes,2012,"$319,688"
711,Phil Dawson,2012,"$3,810,000"
2752,Tyvon Branch,2012,"$6,600,000"
1329,Charles Clay,2012,"$465,000"
2609,Brian Hoyer,2012,"$153,750"
2368,Morgan Burnett,2012,"$540,000"
1849,Morgan Cox,2012,"$540,000"
301,Kellen Clemens,2012,"$710,000"
2694,Golden Tate,2012,"$540,000"
1079,Patrick Chung,2012,"$665,000"
308,Ryan Tannehill,2012,"$8,043,456"
1977,Ed Dickson,2012,"$540,000"
84,Harry Douglas,2012,"$3,500,000"
323,Matt Moore,2012,"$2,775,000"
1969,Tony Bergstrom,2012,"$896,016"
2437,Dan Bailey,2012,"$465,000"
967,Mario Addison,2012,"$116,250"
966,Mario Addison,2012,"$465,000"
1922,Byron Bell,2012,"$465,000"
2453,Bobby Wagner,2012,"$1,962,944"
345,Sam Young,2012,"$540,000"
1907,Brandon Bolden,2012,"$310,998"
1883,Travis Benjamin,2012,"$867,000"
2465,David DeCastro,2012,"$4,512,836"
1099,Marcedes Lewis,2012,"$7,350,000"
2843,George Johnson,2012,"$540,000"
1877,Justin Bethel,2012,"$504,224"
371,Deshawn Shead,2012,"$390,000"
1869,Bryan Bulaga,2012,"$683,500"
1431,Adam Vinatieri,2012,"$2,000,000"
949,Carlos Dunlap,2012,"$540,000"
1807,Drew Brees,2012,"$40,000,000"
2427,Cam Newton,2012,"$1,376,159"
