,Year,Name,Age,Team,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,Pos
4308,2017,David Rittich,24,CGY,1,0.0,0.0,0.0,0.0,1,10.0,9.0,0.9,3.0,0,0.0,20,0.0,,0.0,,,0,0.0,0.0,0.0,G
4309,2017,Juuse Saros,21,NSH,21,19.0,10.0,8.0,3.0,47,614.0,567.0,0.923,2.35,1,4.4,1200,13.0,0.684,1.0,88.0,6.14,0,1.0,1.0,0.0,G
4310,2017,Cory Schneider,30,NJD,60,59.0,20.0,27.0,11.0,163,1781.0,1618.0,0.908,2.82,2,9.5,3473,27.0,0.458,7.0,106.0,-8.87,0,0.0,0.0,0.0,G
4311,2017,Jeremy Smith,27,COL,10,8.0,1.0,6.0,1.0,32,286.0,254.0,0.888,3.54,0,0.8,543,3.0,0.375,3.0,,,0,0.0,0.0,0.0,G
4312,2017,Mike Smith,34,ARI,55,55.0,19.0,26.0,9.0,156,1819.0,1663.0,0.914,2.92,3,10.9,3202,27.0,0.491,7.0,99.0,1.42,0,0.0,0.0,14.0,G
4313,2017,Alex Stalock,29,MIN,2,2.0,1.0,1.0,0.0,3,54.0,51.0,0.944,1.51,0,0.5,119,2.0,1.0,0.0,,,0,0.0,0.0,0.0,G
4314,2017,Anthony Stolarz,23,PHI,7,4.0,2.0,1.0,1.0,13,181.0,168.0,0.928,2.07,1,1.4,376,2.0,0.5,1.0,,,0,0.0,0.0,0.0,G
4315,2017,Malcolm Subban,23,BOS,1,1.0,0.0,1.0,0.0,3,16.0,13.0,0.813,5.88,0,-0.1,31,0.0,0.0,1.0,,,0,0.0,0.0,0.0,G
4316,2017,Cam Talbot,29,EDM,73,73.0,42.0,22.0,8.0,171,2117.0,1946.0,0.919,2.39,7,14.0,4294,43.0,0.589,10.0,93.0,12.21,0,0.0,0.0,4.0,G
4317,2017,Dustin Tokarski,27,ANA,1,0.0,0.0,0.0,0.0,0,5.0,5.0,1.0,0.0,0,0.1,10,0.0,,0.0,,,0,0.0,0.0,0.0,G
4318,2017,Linus Ullmark,23,BUF,1,1.0,0.0,1.0,0.0,3,36.0,33.0,0.917,3.06,0,0.2,59,1.0,1.0,0.0,,,0,0.0,0.0,0.0,G
4319,2017,Semyon Varlamov,28,COL,24,23.0,6.0,17.0,0.0,76,745.0,669.0,0.898,3.38,1,3.1,1348,11.0,0.478,5.0,118.0,-11.53,0,1.0,1.0,0.0,G
4320,2017,Andrei Vasilevskiy,22,TBL,50,47.0,23.0,17.0,7.0,123,1480.0,1357.0,0.917,2.61,2,9.3,2831,25.0,0.532,5.0,96.0,5.08,0,2.0,2.0,2.0,G
