SEASON,PLAYER_ID,PLAYER_NAME,AGE,TM,LG,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1929,gardich01,Charlie Gardiner,24,CBH,NHL,44,,7,29,8,85,,,,1.85,5,3.2,2758,,,,,,0,0,0,2
1929,grantbe01,Benny Grant,20,TOR,NHL,5,,1,2,0,5,,,,1.61,1,0.4,186,,,,,,0,0,0,0
1929,hainsge01,George Hainsworth,33,MTL,NHL,44,,22,7,15,43,,,,0.92,22,11.8,2800,,,,,,0,0,0,0
1929,himesno01,Normie Himes,25,NYA,NHL,1,,0,1,0,3,,,,3,0,-0.2,60,,,,,,10,0,10,25
1929,hornere01,Red Horner,19,TOR,NHL,1,,0,0,0,0,,,,,0,0,2,,,,,,0,0,0,30
1929,millejo01,Joe Miller,28,PTP,NHL,44,,9,27,8,80,,,,1.73,11,4.4,2780,,,,,,0,0,0,0
1929,roachjo01,John Ross Roach,28,NYR,NHL,44,,21,13,10,65,,,,1.41,13,7.2,2760,,,,,,0,0,0,0
1929,thompti01,Tiny Thompson,25,BOS,NHL,44,,26,13,5,52,,,,1.15,12,9.3,2710,,,,,,0,0,0,0
1929,walshfl01,Flat Walsh,31,MTM,NHL,7,,1,4,2,8,,,,1.07,1,1.7,450,,,,,,0,,,
1929,walshfl01,Flat Walsh,31,NYA,NHL,4,,2,0,2,1,,,,0.23,3,1.7,260,,,,,,0,,,
1929,wortero01,Roy Worters,28,NYA,NHL,38,,16,12,10,46,,,,1.15,13,8.2,2390,,,,,,0,0,0,0
1930,benedcl01,Clint Benedict,37,MTM,NHL,14,,5,5,1,35,,,,2.95,0,1.8,711,,,,,,0,0,0,0
1930,beverbi01,Bill Beveridge,20,DTC,NHL,39,,14,20,5,109,,,,2.71,2,7,2410,,,,,,0,0,0,0
1930,chabolo01,Lorne Chabot,29,TOR,NHL,42,,16,20,6,110,,,,2.54,6,8.2,2600,,,,,,0,0,0,0
1930,conneal01,Alec Connell,27,OTS,NHL,44,,21,15,8,118,,,,2.55,3,8.8,2780,,,,,,0,0,0,0
1930,coxab01,Abbie Cox,25,MTM,NHL,1,,1,0,0,2,,,,2,0,0.2,60,,,,,,0,0,0,0
1930,dolsodo01,Dolly Dolson,32,DTC,NHL,5,,0,4,1,24,,,,4.5,0,0,320,,,,,,0,0,0,0
1930,forbeja01,Jake Forbes,32,NYA,NHL,1,,0,0,1,1,,,,0.86,0,0.4,70,,,,,,0,0,0,0
1930,gardich01,Charlie Gardiner,25,CBH,NHL,44,,21,18,5,111,,,,2.42,3,9.2,2750,,,,,,0,0,0,0
1930,grantbe01,Benny Grant,21,NYA,NHL,7,,3,4,0,25,,,,3.57,0,0.6,420,,,,,,0,,,
1930,grantbe01,Benny Grant,21,TOR,NHL,3,,1,1,0,14,,,,5.6,0,-0.3,150,,,,,,0,,,
1930,hainsge01,George Hainsworth,34,MTL,NHL,42,,20,13,9,108,,,,2.42,4,9,2680,,,,,,0,0,0,0
1930,millejo01,Joe Miller,29,PTP,NHL,43,,5,35,3,179,,,,4.08,0,1.8,2630,,,,,,0,0,0,0
1930,murrami01,Mickey Murray,31,MTL,NHL,1,,0,1,0,4,,,,4,0,0,60,,,,,,0,0,0,0
1930,roachjo01,John Ross Roach,29,NYR,NHL,44,,17,17,10,143,,,,3.1,1,6.3,2770,,,,,,0,0,0,0
1930,spoonre01,Red Spooner,19,PTP,NHL,1,,0,1,0,6,,,,6,0,-0.1,60,,,,,,0,0,0,0
1930,thompti01,Tiny Thompson,26,BOS,NHL,44,,38,5,1,98,,,,2.19,3,10,2680,,,,,,0,0,0,0
1930,walshfl01,Flat Walsh,32,MTM,NHL,32,,17,11,4,77,,,,2.38,2,6.6,1939,,,,,,0,0,0,0
1930,wortero01,Roy Worters,29,NYA,NHL,36,,11,21,4,135,,,,3.57,2,3.4,2270,,,,,,0,,,
1930,wortero01,Roy Worters,29,MTL,NHL,1,,1,0,0,2,,,,2,0,0.2,60,,,,,,0,,,
1931,beverbi01,Bill Beveridge,21,OTS,NHL,9,,0,8,0,32,,,,3.69,0,0,520,,,,,,0,0,0,0
1931,chabolo01,Lorne Chabot,30,TOR,NHL,37,,21,8,8,80,,,,2.09,6,7.2,2300,,,,,,0,0,0,0
