,Year,Name,Age,Team,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,Pos,Salary
1391,2015,Karri Ramo,28,CGY,34,32.0,15.0,9.0,3.0,75,852.0,777.0,0.912,2.6,2,4.8,1731,14.0,0.438,5.0,103.0,-2.28,0,0.0,0.0,0.0,G,3800000.0
1392,2015,Tuukka Rask,27,BOS,70,67.0,34.0,21.0,13.0,156,2011.0,1855.0,0.922,2.3,3,14.0,4063,42.0,0.627,8.0,91.0,15.65,0,0.0,0.0,8.0,G,7500000.0
1393,2015,James Reimer,26,TOR,35,27.0,9.0,16.0,1.0,93,1001.0,908.0,0.907,3.16,0,5.1,1767,13.0,0.481,7.0,109.0,-7.56,0,0.0,0.0,2.0,G,2000000.0
1394,2015,Pekka Rinne,32,NSH,64,64.0,41.0,17.0,6.0,140,1807.0,1667.0,0.923,2.18,4,12.6,3851,43.0,0.672,7.0,91.0,14.23,0,1.0,1.0,8.0,G,7000000.0
1395,2015,Jussi Rynnas,27,DAL,2,1.0,0.0,1.0,0.0,7,44.0,37.0,0.841,4.54,0,-0.1,92,0.0,0.0,1.0,,,0,0.0,0.0,0.0,G,
1396,2015,Cory Schneider,28,NJD,69,68.0,26.0,31.0,9.0,148,1982.0,1834.0,0.925,2.26,5,14.5,3924,41.0,0.603,7.0,87.0,21.17,0,2.0,2.0,0.0,G,6000000.0
1397,2015,Ben Scrivens,28,EDM,57,53.0,15.0,26.0,11.0,170,1542.0,1372.0,0.89,3.16,1,4.6,3228,19.0,0.358,13.0,129.0,-38.39,0,1.0,1.0,4.0,G,2300000.0
1398,2015,Mackenzie Skapski,20,NYR,2,2.0,2.0,0.0,0.0,1,45.0,44.0,0.978,0.5,1,0.6,119,2.0,1.0,0.0,,,0,0.0,0.0,0.0,G,
1399,2015,Mike Smith,32,ARI,62,61.0,14.0,42.0,5.0,187,1955.0,1768.0,0.904,3.16,0,9.3,3556,29.0,0.475,12.0,112.0,-20.13,0,1.0,1.0,10.0,G,6500000.0
1400,2015,Alex Stalock,27,SJS,22,19.0,8.0,9.0,2.0,54,553.0,499.0,0.902,2.62,2,2.5,1237,10.0,0.526,1.0,114.0,-6.8,0,0.0,0.0,2.0,G,1700000.0
1401,2015,Malcolm Subban,21,BOS,1,1.0,0.0,1.0,0.0,3,6.0,3.0,0.5,5.76,0,-0.3,31,0.0,0.0,1.0,,,0,0.0,0.0,0.0,G,
1402,2015,Niklas Svedberg,25,BOS,18,14.0,7.0,5.0,1.0,35,425.0,390.0,0.918,2.33,2,2.7,900,9.0,0.643,2.0,96.0,1.28,0,0.0,0.0,0.0,G,
1403,2015,Cam Talbot,27,NYR,36,34.0,21.0,9.0,4.0,77,1038.0,961.0,0.926,2.21,5,7.6,2095,17.0,0.5,2.0,87.0,11.6,0,0.0,0.0,0.0,G,
1404,2015,Dustin Tokarski,25,MTL,17,16.0,6.0,6.0,4.0,46,509.0,463.0,0.91,2.75,0,2.7,1005,8.0,0.5,1.0,106.0,-2.56,0,1.0,1.0,0.0,G,575000.0
1405,2015,Semyon Varlamov,26,COL,57,57.0,28.0,20.0,8.0,141,1791.0,1650.0,0.921,2.56,5,12.2,3307,33.0,0.579,6.0,92.0,11.87,0,0.0,0.0,4.0,G,6000000.0
1406,2015,Andrei Vasilevskiy,20,TBL,16,13.0,7.0,5.0,1.0,34,415.0,381.0,0.918,2.36,1,2.7,864,7.0,0.538,1.0,96.0,1.42,0,0.0,0.0,0.0,G,925000.0
1407,2015,Cam Ward,30,CAR,51,50.0,22.0,24.0,5.0,121,1351.0,1230.0,0.91,2.4,1,7.4,3026,26.0,0.52,7.0,105.0,-5.69,0,0.0,0.0,4.0,G,6800000.0
1408,2015,Jeff Zatkoff,27,PIT,1,0.0,0.0,1.0,0.0,1,17.0,16.0,0.941,1.63,0,0.2,37,0.0,,0.0,,,0,0.0,0.0,0.0,G,600000.0
1409,2015,Rob Zepp,33,PHI,10,9.0,5.0,2.0,0.0,25,223.0,198.0,0.888,2.89,0,0.6,519,1.0,0.111,2.0,,,0,0.0,0.0,0.0,G,
1410,2016,Jake Allen,25,STL,47,44.0,26.0,15.0,3.0,101,1260.0,1159.0,0.92,2.35,6,8.2,2583,26.0,0.591,6.0,94.0,6.28,0,0.0,0.0,0.0,G,2500000.0
1411,2016,Frederik Andersen,26,ANA,43,37.0,22.0,9.0,7.0,88,1086.0,998.0,0.919,2.3,3,7.0,2298,24.0,0.649,5.0,95.0,4.46,0,1.0,1.0,2.0,G,5000000.0
1412,2016,Craig Anderson,34,OTT,60,60.0,31.0,23.0,5.0,161,1915.0,1754.0,0.916,2.78,4,11.6,3477,31.0,0.517,8.0,99.0,2.05,0,2.0,2.0,0.0,G,4750000.0
1413,2016,Richard Bachman,28,VAN,1,1.0,1.0,0.0,0.0,3,31.0,28.0,0.903,3.01,0,0.1,60,0.0,0.0,0.0,,,0,0.0,0.0,0.0,G,0.0
1414,2016,Niklas Backstrom,37,CGY,4,3.0,2.0,2.0,0.0,13,109.0,96.0,0.881,3.35,0,0.2,233,2.0,0.667,1.0,,,0,0.0,0.0,0.0,G,
1415,2016,Jonathan Bernier,27,TOR,38,36.0,12.0,21.0,3.0,103,1114.0,1011.0,0.908,2.88,3,5.6,2147,19.0,0.528,8.0,109.0,-8.15,0,0.0,0.0,2.0,G,4150000.0
1416,2016,Reto Berra,29,COL,14,12.0,5.0,8.0,0.0,29,374.0,345.0,0.922,2.41,2,2.5,721,7.0,0.583,2.0,91.0,2.84,0,1.0,1.0,2.0,G,
1417,2016,Jean-Francois Berube,24,NYI,7,6.0,3.0,2.0,1.0,18,210.0,192.0,0.914,2.71,0,1.2,399,4.0,0.667,1.0,,,0,0.0,0.0,0.0,G,675000.0
1418,2016,Jordan Binnington,22,STL,1,0.0,0.0,0.0,0.0,1,4.0,3.0,0.75,4.69,0,-0.1,13,0.0,,0.0,,,0,0.0,0.0,0.0,G,
1419,2016,Ben Bishop,29,TBL,61,60.0,35.0,21.0,4.0,123,1672.0,1549.0,0.926,2.06,6,12.2,3585,37.0,0.617,4.0,86.0,19.36,0,1.0,1.0,4.0,G,5950000.0
1420,2016,Sergei Bobrovsky,27,CBJ,37,37.0,15.0,19.0,1.0,97,1049.0,952.0,0.908,2.75,1,5.3,2116,18.0,0.486,8.0,109.0,-7.69,0,2.0,2.0,2.0,G,8500000.0
1421,2016,Laurent Brossoit,22,EDM,5,5.0,0.0,4.0,1.0,18,142.0,124.0,0.873,3.61,0,0.1,300,1.0,0.2,2.0,,,0,0.0,0.0,0.0,G,650000.0
1422,2016,Peter Budaj,33,LAK,1,1.0,1.0,0.0,0.0,4,28.0,24.0,0.857,3.85,0,0.0,62,0.0,0.0,0.0,,,0,0.0,0.0,0.0,G,600000.0
1423,2016,Mike Condon,25,MTL,55,51.0,21.0,25.0,6.0,141,1458.0,1317.0,0.903,2.71,1,6.6,3123,24.0,0.471,9.0,114.0,-16.86,0,0.0,0.0,0.0,G,575000.0
1424,2016,Pheonix Copley,24,STL,1,0.0,0.0,0.0,0.0,1,6.0,5.0,0.833,2.46,0,0.0,24,0.0,,0.0,,,0,0.0,0.0,0.0,G,
